全国・地方予報区等,全国,※別表第一(第２条関係)　一　全国予報区,10000
全国・地方予報区等,北日本,季節予報全国予報区細分地域（４区分）,20100
全国・地方予報区等,北日本日本海側,季節予報全国予報区細分地域（７区分）,20110
全国・地方予報区等,北日本日本海側（北海道地方を除く）,↑暖候期予報「梅雨時期の降水量」の場合,20111
全国・地方予報区等,北日本太平洋側,季節予報全国予報区細分地域（７区分）,20120
全国・地方予報区等,北日本太平洋側（北海道地方を除く）,↑暖候期予報「梅雨時期の降水量」の場合,20121
全国・地方予報区等,東日本,季節予報全国予報区細分地域（４区分）,20200
全国・地方予報区等,東日本日本海側,季節予報全国予報区細分地域（７区分）,20210
全国・地方予報区等,東日本太平洋側,季節予報全国予報区細分地域（７区分）,20220
全国・地方予報区等,西日本,季節予報全国予報区細分地域（４区分）,20300
全国・地方予報区等,西日本日本海側,季節予報全国予報区細分地域（７区分）,20310
全国・地方予報区等,西日本日本海側（九州北部地方を除く）,↑降雪量の場合,20311
全国・地方予報区等,西日本太平洋側,季節予報全国予報区細分地域（７区分）,20320
全国・地方予報区等,沖縄・奄美,季節予報全国予報区細分地域（４区分、７区分）,20400
全国・地方予報区等,北海道地方,※別表第一(第２条関係)　二　地方予報区,10100
全国・地方予報区等,北海道日本海側,季節予報地方予報区細分地域,10101
全国・地方予報区等,北海道オホ－ツク海側,季節予報地方予報区細分地域,10102
全国・地方予報区等,北海道太平洋側,季節予報地方予報区細分地域,10103
全国・地方予報区等,北海道日本海側北部,,10104
全国・地方予報区等,北海道日本海側南部,,10105
全国・地方予報区等,北海道オホ－ツク海側北部,,10106
全国・地方予報区等,北海道オホ－ツク海側南部,,10107
全国・地方予報区等,北海道太平洋側西部,,10108
全国・地方予報区等,北海道太平洋側東部,,10109
全国・地方予報区等,東北地方,※別表第一(第２条関係)　二　地方予報区,10200
全国・地方予報区等,東北日本海側,季節予報地方予報区細分地域,10201
全国・地方予報区等,東北太平洋側,季節予報地方予報区細分地域,10202
全国・地方予報区等,東北北部,季節予報地方予報区細分地域,10203
全国・地方予報区等,東北南部,季節予報地方予報区細分地域,10204
全国・地方予報区等,関東甲信地方,※別表第一(第２条関係)　二　地方予報区,10300
全国・地方予報区等,関東地方,,10301
全国・地方予報区等,関東地方北部,,10302
全国・地方予報区等,関東地方南部,,10303
全国・地方予報区等,甲信地方,,10304
全国・地方予報区等,長野県の北部と中部,,10305
全国・地方予報区等,甲信地方南部,,10306
全国・地方予報区等,伊豆諸島,,10307
全国・地方予報区等,伊豆諸島北部,,10308
全国・地方予報区等,伊豆諸島南部,,10309
全国・地方予報区等,小笠原諸島,,10310
全国・地方予報区等,長野県北部・群馬県北部,季節予報地方予報区細分地域,10311
全国・地方予報区等,北陸地方,※別表第一(第２条関係)　二　地方予報区,10500
全国・地方予報区等,東海地方,※別表第一(第２条関係)　二　地方予報区,10400
全国・地方予報区等,岐阜県山間部,季節予報地方予報区細分地域,10401
全国・地方予報区等,近畿地方,※別表第一(第２条関係)　二　地方予報区,10600
全国・地方予報区等,近畿太平洋側,季節予報地方予報区細分地域,10601
全国・地方予報区等,近畿日本海側,季節予報地方予報区細分地域,10602
全国・地方予報区等,近畿北部,,10603
全国・地方予報区等,近畿中部,,10604
全国・地方予報区等,近畿南部,,10605
全国・地方予報区等,中国地方,※別表第一(第２条関係)　二　地方予報区,10700
全国・地方予報区等,山陰,季節予報地方予報区細分地域,10701
全国・地方予報区等,山陽,季節予報地方予報区細分地域,10702
全国・地方予報区等,四国地方,※別表第一(第２条関係)　二　地方予報区,10800
全国・地方予報区等,四国地方瀬戸内側,,10801
全国・地方予報区等,四国地方太平洋側,,10802
全国・地方予報区等,九州北部地方（山口県を含む）,※別表第一(第２条関係)　二　地方予報区,10900
全国・地方予報区等,九州南部・奄美地方,※別表第一(第２条関係)　二　地方予報区,11000
全国・地方予報区等,九州南部,季節予報地方予報区細分地域,11001
全国・地方予報区等,奄美地方,季節予報地方予報区細分地域,11002
全国・地方予報区等,沖縄地方,※別表第一(第２条関係)　二　地方予報区,11100
全国・地方予報区等,沖縄本島地方,,11101
全国・地方予報区等,大東島地方,,11102
全国・地方予報区等,宮古島地方,,11103
全国・地方予報区等,石垣島地方,,11104
全国・地方予報区等,与那国島地方,,11105
全国・地方予報区等,八重山地方,,11106
