100,北海道太平洋沿岸東部,ほっかいどうたいへいようえんがんとうぶ
101,北海道太平洋沿岸中部,ほっかいどうたいへいようえんがんちゅうぶ
102,北海道太平洋沿岸西部,ほっかいどうたいへいようえんがんせいぶ
110,北海道日本海沿岸北部,ほっかいどうにほんかいえんがんほくぶ
111,北海道日本海沿岸南部,ほっかいどうにほんかいえんがんなんぶ
120,オホーツク海沿岸,おほーつくかいえんがん
200,青森県日本海沿岸,あおもりけんにほんかいえんがん
201,青森県太平洋沿岸,あおもりけんたいへいようえんがん
202,陸奥湾,むつわん
210,岩手県,いわてけん
220,宮城県,みやぎけん
230,秋田県,あきたけん
240,山形県,やまがたけん
250,福島県,ふくしまけん
300,茨城県,いばらきけん
310,千葉県九十九里・外房,ちばけんくじゅうくりそとぼう
311,千葉県内房,ちばけんうちぼう
312,東京湾内湾,とうきょうわんないわん
320,伊豆諸島,いずしょとう
321,小笠原諸島,おがさわらしょとう
330,相模湾・三浦半島,さがみわんみうらはんとう
340,新潟県上中下越,にいがたけんじょうちゅうかえつ
341,佐渡,さど
350,富山県,とやまけん
360,石川県能登,いしかわけんのと
361,石川県加賀,いしかわけんかが
370,福井県,ふくいけん
380,静岡県,しずおかけん
390,愛知県外海,あいちけんそとうみ
391,伊勢・三河湾,いせみかわわん
400,三重県南部,みえけんなんぶ
500,京都府,きょうとふ
510,大阪府,おおさかふ
520,兵庫県北部,ひょうごけんほくぶ
521,兵庫県瀬戸内海沿岸,ひょうごけんせとないかいえんがん
522,淡路島南部,あわじしまなんぶ
530,和歌山県,わかやまけん
540,鳥取県,とっとりけん
550,島根県出雲・石見,しまねけんいずもいわみ
551,隠岐,おき
560,岡山県,おかやまけん
570,広島県,ひろしまけん
580,徳島県,とくしまけん
590,香川県,かがわけん
600,愛媛県宇和海沿岸,えひめけんうわかいえんがん
601,愛媛県瀬戸内海沿岸,えひめけんせとないかいえんがん
610,高知県,こうちけん
700,山口県日本海沿岸,やまぐちけんにほんかいえんがん
701,山口県瀬戸内海沿岸,やまぐちけんせとないかいえんがん
710,福岡県瀬戸内海沿岸,ふくおかけんせとないかいえんがん
711,福岡県日本海沿岸,ふくおかけんにほんかいえんがん
712,有明・八代海,ありあけやつしろかい
720,佐賀県北部,さがけんほくぶ
730,長崎県西方,ながさきけんせいほう
731,壱岐・対馬,いきつしま
740,熊本県天草灘沿岸,くまもとけんあまくさなだえんがん
750,大分県瀬戸内海沿岸,おおいたけんせとないかいえんがん
751,大分県豊後水道沿岸,おおいたけんぶんごすいどうえんがん
760,宮崎県,みやざきけん
770,鹿児島県東部,かごしまけんとうぶ
771,種子島・屋久島地方,たねがしまやくしまちほう
772,奄美群島・トカラ列島,あまみぐんとうとかられっとう
773,鹿児島県西部,かごしまけんせいぶ
800,沖縄本島地方,おきなわほんとうちほう
801,大東島地方,だいとうじまちほう
802,宮古島・八重山地方,みやこじまやえやまちほう
