101,知床硫黄山,しれとこいおうざん,
102,羅臼岳,らうすだけ,
103,摩周,ましゅう,
104,アトサヌプリ,あとさぬぷり,
105,雌阿寒岳,めあかんだけ,
106,丸山,まるやま,
107,大雪山,たいせつざん,
108,十勝岳,とかちだけ,
109,樽前山,たるまえさん,
110,恵庭岳,えにわだけ,
111,倶多楽,くったら,
112,有珠山,うすざん,
113,北海道駒ヶ岳,ほっかいどうこまがたけ,
114,恵山,えさん,
115,渡島大島,おしまおおしま,
116,利尻山,りしりざん,
117,羊蹄山,ようていさん,
118,ニセコ,にせこ,
119,天頂山,てんちょうざん,
120,雄阿寒岳,おあかんだけ,
151,茂世路岳,もよろだけ,
152,散布山,ちりっぷさん,
153,指臼岳,さしうすだけ,
154,小田萌山,おだもいさん,
155,択捉焼山,えとろふやけやま,
156,択捉阿登佐岳,えとろふあとさぬぷり,
157,ベルタルベ山,べるたるべさん,
158,爺爺岳,ちゃちゃだけ,
159,羅臼山,らうすさん,
160,泊山,とまりやま,
161,ルルイ岳,るるいだけ,
201,恐山,おそれざん,
202,岩木山,いわきさん,
203,八甲田山,はっこうださん,
204,十和田,とわだ,
205,秋田焼山,あきたやけやま,
206,八幡平,はちまんたい,
207,岩手山,いわてさん,
208,秋田駒ヶ岳,あきたこまがたけ,
209,鳥海山,ちょうかいさん,
210,栗駒山,くりこまやま,
211,鳴子,なるこ,
212,蔵王山,ざおうざん（ざおうさん）,2つのふりがなを併記
213,吾妻山,あづまやま,
214,安達太良山,あだたらやま,
215,磐梯山,ばんだいさん,
216,燧ヶ岳,ひうちがたけ,
217,肘折,ひじおり,
218,沼沢,ぬまざわ,
301,那須岳,なすだけ,
302,日光白根山,にっこうしらねさん,
303,赤城山,あかぎさん,
304,榛名山,はるなさん,
305,草津白根山,くさつしらねさん,
306,浅間山,あさまやま,
307,新潟焼山,にいがたやけやま,
308,妙高山,みょうこうさん,
309,弥陀ヶ原,みだがはら,
310,焼岳,やけだけ,
311,乗鞍岳,のりくらだけ,
312,御嶽山,おんたけさん,
313,白山,はくさん,
314,富士山,ふじさん,
315,箱根山,はこねやま,
316,伊豆東部火山群,いずとうぶかざんぐん,
317,伊豆大島,いずおおしま,
318,新島,にいじま,
319,神津島,こうづしま,
320,三宅島,みやけじま,
321,八丈島,はちじょうじま,
322,青ヶ島,あおがしま,
323,ベヨネース列岩,べよねーすれつがん,
324,須美寿島,すみすじま,
325,伊豆鳥島,いずとりしま,
326,西之島,にしのしま,
327,海徳海山,かいとくかいざん,
328,噴火浅根,ふんかあさね,
329,硫黄島,いおうとう,
330,北福徳堆,きたふくとくたい,
331,福徳岡ノ場,ふくとくおかのば,
333,高原山,たかはらやま,
334,横岳,よこだけ,
335,アカンダナ山,あかんだなやま,
336,利島,としま,
337,御蔵島,みくらじま,
338,孀婦岩,そうふがん,
339,海形海山,かいかたかいざん,
340,南日吉海山,みなみひよしかいざん,
341,日光海山,にっこうかいざん,
342,男体山,なんたいさん,
350,草津白根山（白根山（湯釜付近））,くさつしらねさん（しらねさん（ゆがまふきん））,
351,草津白根山（本白根山）,くさつしらねさん（もとしらねさん）,
401,三瓶山,さんべさん,
502,九重山,くじゅうさん,
503,阿蘇山,あそさん,
504,雲仙岳,うんぜんだけ,
505,霧島山,きりしまやま,
506,桜島,さくらじま,
507,開聞岳,かいもんだけ,
508,薩摩硫黄島,さつまいおうじま,
509,口永良部島,くちのえらぶじま,
510,中之島,なかのしま,
511,諏訪之瀬島,すわのせじま,
512,阿武火山群,あぶかざんぐん,
513,鶴見岳・伽藍岳,つるみだけ・がらんだけ,
514,由布岳,ゆふだけ,
515,福江火山群,ふくえかざんぐん,
516,米丸・住吉池,よねまる・すみよしいけ,
517,若尊,わかみこ,
518,池田・山川,いけだ・やまがわ,
519,口之島,くちのしま,
550,霧島山（御鉢）,きりしまやま（おはち）,
551,霧島山（新燃岳）,きりしまやま（しんもえだけ）,
552,霧島山（えびの高原（硫黄山）周辺）,きりしまやま（えびのこうげん（いおうやま）しゅうへん）,
553,霧島山（大幡池）,きりしまやま（おおはたいけ）,
601,硫黄鳥島,いおうとりしま,
602,西表島北北東海底火山,いりおもてじまほくほくとうかいていかざん,
900,全国の活火山,ぜんこくのかつかざん,
901,その他の活火山,そのたのかつかざん,
902,新たな活火山,あらたなかつかざん,
